model,deadline_miss_rate,cost_per_episode,rank
model_315000.d3,0.8,634560.2992224409,1
model_150000.d3,0.8,718843.4833601447,2
model_355000.d3,0.8,728365.7466169506,3
model_220000.d3,0.8,728726.2424902648,4
model_260000.d3,0.8,729043.187275577,5
model_265000.d3,0.8,729072.6032147681,6
model_130000.d3,0.8,729102.2873089769,7
model_285000.d3,0.8,729107.0341307994,8
model_250000.d3,0.8,729109.911969424,9
model_225000.d3,0.8,729112.4080631158,10
model_365000.d3,0.8,729129.3541817481,11
model_330000.d3,0.8,729160.7915560303,12
model_145000.d3,0.8,729275.6055060666,13
model_215000.d3,0.8,729872.8413041107,14
model_125000.d3,0.8,729985.3522690301,15
model_165000.d3,0.8,730315.5833937058,16
model_90000.d3,1.0,11.312772750854492,17
model_95000.d3,1.0,11.402283668518066,18
model_75000.d3,1.0,11.422853469848633,19
model_85000.d3,1.0,11.91581916809082,20
model_80000.d3,1.0,13.464376449584961,21
model_100000.d3,1.0,457101.6875,22
model_320000.d3,1.0,616155.5404766884,23
model_290000.d3,1.0,639103.7105841012,24
model_70000.d3,1.0,695924.9292374405,25
model_65000.d3,1.0,698970.3885187482,26
model_205000.d3,1.0,702856.3782652296,27
model_305000.d3,1.0,705301.1541397602,28
model_105000.d3,1.0,711052.5241971884,29
model_110000.d3,1.0,717045.0105168981,30
model_160000.d3,1.0,717338.5042157961,31
model_340000.d3,1.0,718755.9731197295,32
model_195000.d3,1.0,722005.1552076333,33
model_155000.d3,1.0,722012.6457698772,34
model_360000.d3,1.0,722109.851915952,35
model_325000.d3,1.0,722501.0159406646,36
model_185000.d3,1.0,722582.1495013206,37
model_115000.d3,1.0,723828.2303221877,38
model_295000.d3,1.0,724912.6785047733,39
model_335000.d3,1.0,725249.3771520182,40
model_230000.d3,1.0,726853.769546379,41
model_395000.d3,1.0,726868.1264121797,42
model_140000.d3,1.0,728077.5835542,43
model_385000.d3,1.0,728134.6363702411,44
model_200000.d3,1.0,728409.6598173914,45
model_180000.d3,1.0,728715.3330933905,46
model_345000.d3,1.0,728892.4245343803,47
model_380000.d3,1.0,728992.5592576491,48
model_390000.d3,1.0,729004.481156551,49
model_375000.d3,1.0,729006.2815564026,50
model_370000.d3,1.0,729009.4303396003,51
model_400000.d3,1.0,729013.6431849189,52
model_350000.d3,1.0,729023.1535684365,53
model_255000.d3,1.0,729107.4579111779,54
model_235000.d3,1.0,729108.1308062772,55
model_245000.d3,1.0,729117.6128153263,56
model_210000.d3,1.0,729126.8570255184,57
model_190000.d3,1.0,729153.3793366892,58
model_270000.d3,1.0,729157.8448005219,59
model_240000.d3,1.0,729158.1266437473,60
model_275000.d3,1.0,729178.4987324575,61
model_170000.d3,1.0,729222.745662854,62
model_175000.d3,1.0,729235.931288184,63
model_310000.d3,1.0,729267.8892141848,64
model_300000.d3,1.0,729278.06394158,65
model_280000.d3,1.0,729299.8172515231,66
model_135000.d3,1.0,729988.9626178321,67
model_120000.d3,1.0,730603.95317811,68
